Mapping_ID,Edge_Key,Endpoint_A,Endpoint_B,A_Zone,B_Zone,Edge_Label,Source_Document,Standard,Requirement_ID,Requirement_Text_Original,Edge_Total_Mapped_Req
E-0001,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1000,This is an example requirement introduced in this document. The format below is applied to the handed over requirements from ISO 15118-2:,200
E-0002,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-000,This is an example requirement originally defined in ISO 15118-2. 5.3 Usage of references,200
E-0003,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1230,All published updates and error corrections (errata) shall be applied to the referred documents.,200
E-0004,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1231,Each V2G entity shall use X.509v3 certificates.,200
E-0005,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2673,"Each V2G entity shall support Hash-operation SHA-512 (signature process) according to NIST FIPS PUB 180-4 (for ISO 15118-1, use case element ID: F1).",200
E-0006,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2318,"Each V2G entity shall support SHAKE256 according to NIST FIPS PUB 202 (for ISO 15118-1, use case element ID: F1).",200
E-0007,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2674,"Each V2G entity shall support signature operations using ECC based elliptic curve (secp521r1[SECG notation]) with signature algorithm ECDSA (for ISO 15118-1, use case element ID: F1).",200
E-0008,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2319,"Each V2G entity shall additionally support signature operations with ECC algorithm Ed448 (for ISO 15118-1, use case element ID: F1), i.e. signature algorithm EdDSA using elliptic curve Curve448 (or Curve448-Goldilocks) in Edwards form, see IETF RFC 7748 and IETF RFC 8032.",200
E-0009,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2320,Multiple algorithms are integrated to allow for cryptographic agility. Each V2G entity shall implement a secure configurable mechanism to securely switch usage of (elliptic curve) EC from that defined in,200
E-0010,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2321,As long as no issues or flaws are identified in the (elliptic curve) EC as specified by,200
E-0011,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2675,Each V2G entity shall support a key length of 521 bits for ECC based asymmetric cryptography.,200
E-0012,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2322,"Each certificate shall meet all requirements as specified for that certificate in this subclause (and any of its subclauses), 7.3.3 (and any of its subclauses) and in Annex B.",200
E-0013,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-926,The certificate extensions mentioned in Annex B shall be supported.,200
E-0014,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2323,Certificates used in this document shall not contain any extensions other than those specified in Annex B.,200
E-0015,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1234,Each certificate in a certificate chain shall be DER encoded and the size of each certificate in DER encoded form shall be limited to a maximum of 1 600 bytes. Refer to ITU-T X.509 for details of DER encoding.,200
E-0016,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1004,Certificates shall be issued and signed by the CA within the validity of its own certificate.,200
E-0017,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1003,All certificate chains (except where a cross certificate is used) shall have a maximum length of 3.,200
E-0018,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1005,"All certificate chains, including a cross certificate, shall have a maximum length of 4.",200
E-0019,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1002,"When cross-certification is used, the certificate chain sent shall include the cross certificate.",200
E-0020,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1853,A cross-certificate shall not be valid beyond the validity period of the cross-certified CA's certificate and cross-certifying CA's certificate.,200
E-0021,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1001,"All certificate validations shall be carried out in conformance with IETF RFC 5280 and ITU-T X.509. During certificate validation, each certificate shall be checked for conformance with the appropriate profile in Annex B. All requirements from Annex B shall be met for the appropriate certificate profile. The EVCC and the SECC shall cache certificate validation results during one service session.",200
E-0022,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2324,When the configurable mechanism as defined by,200
E-0023,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2325,When the configurable mechanism as defined by,200
E-0024,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2581,When using the curve as defined by,200
E-0025,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2340,The EVCC shall possess at least one V2G root CA certificate. This certificate is necessary to verify SECC certificates to establish TLS session. Refer to 7.3.2.1 for V2G root CA certificate requirements.,200
E-0026,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2343,"If the EVCC does not contain an OEM provisioning certificate, it shall not send CertificateInstallationReq message. Refer to 8.3.4.3.9.2 for details of CertificateInstallationReq message. Refer to 7.9.2.5 and its subclauses for details of contract certificate installation via the EVSE. Minimum certificates required for PE This subclause covers both the SECC and the private SECC.",200
E-0027,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1238,"In the SDP handshake, when the SECC intends to offer ISO 15118-20 communication, it shall respond to a TLS request by the EVCC with TLS.",200
E-0028,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1235,"V2G-CI-TLS shall always be applied for both the EVCC and SECC, if the chosen ProtocolNamespace is equal to ""urn:iso:std:iso:15118:-20"".",200
E-0029,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2646,"After the message exchange of supportedAppProtocolReq/Res, usage of V2G-CI-TLS shall be confirmed.",200
E-0030,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1237,If the established connection between EVCC and SECC is TLS 1.2 (or lower) or TCP without TLS the EVCC shall not offer ISO 15118-20 communication in SupportedAppProtocolReq message (see Table 5).,200
E-0031,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2356,If the established connection between EVCC and SECC is TLS 1.2 (or lower) or TCP without TLS the SECC shall not select ISO 15118-20 communication from SupportedAppProtocolReq message (see Table 5). Private environment is considered to be a power transfer service for a closed user group. This user group is defined and managed by the eMSP of the power transfer service itself. The security of the field is,200
E-0032,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1013,"There shall be at least one firewall between the EVCC, which is connected to an untrusted network, and the SECC, which is connected to a trusted network.",200
E-0033,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-1014,For security reasons the rules mentioned in Table 3 shall apply for the firewall mentioned in,200
E-0034,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-835,"Whenever a V2G entity requires random numbers within this document, a state-of the-art cryptographically secure random number generator shall be used.",200
E-0035,EVCC|SECC,EVCC,SECC,Z1: EV Domain,Z2: XFC/EVSE Domain,ISO 15118-20,ISO 15118-20,ISO,V2G20-2607,The V2G entity shall ensure that the random number used to re-seed/re-initialize a DRBG has the minimum amount of entropy required for the particular application/feature/function as defined by this specification document. The entropy input and the seed shall be kept secret.,200
