#,Communication path,Class,Requirement instances,Basis standard(s),Classification rationale,ZTA_Archetype,ZTA_Role,Gap-B_Evidence_Level
1,EVCC – Wireless,Active,6,"ISO 15118-20 §V2G20-1015/2247/2251/2254/2259/4046 (WLAN, WPA3)","ISO 15118-20 places medium-layer security requirements (e.g., WPA3) on the EVCC for wireless (WLAN) access (V2G20-1015, 2247, 2251, 2254, 2259, 4046).",—,—,
2,EVCC – PKI,Active,30,ISO 15118-20 §3.11/§3.37,Contract certificates and OEM provisioning certificates are issued to the EVCC.,—,—,
3,EVCC – SECC,Active,200,"ISO 15118-20 §1 Scope, Fig.1","Core V2G communication interface; the largest requirement set among the five standards. Two of the 200 entries (V2G20-1000, V2G20-000) are notation-example items defined by ISO 15118-20 itself and are retained in the counts for reproducibility (not interpreted as normative requirements).",—,—,
4,EVCC – EVSE/CS,Non-Applicable,0,ISO 15118-1:2019 §3.1.31,"The EVCC's application-layer peer is defined only as the SECC; the EVSE/CS is a higher-level physical device, not a separate endpoint.",—,—,
5,EVCC – EVSE-Internal,Non-Applicable,0,ISO 15118-1:2019 §1 Scope,ISO 15118 explicitly declares communication with EVSE-internal equipment other than the SECC to be out of scope.,—,—,
6,EVCC – CSMS,Active,6,ISO 15118-20 (PnC signaling relayed by the SECC),Plug & Charge contract negotiation requires signal exchange between the CSMS and the EVCC.,—,—,
7,EVCC – eMSP/External,Active,6,ISO 15118-20 (PnC contract path),The eMSP role is explicitly involved in issuing/renewing contract certificates.,—,—,
8,EVCC – Utility/Grid,Gap-B,0,NIST IR 8473 AM-3 (recommendation); SAE J2836/1,"AM-3 is a recommendation to avoid, not a prohibition; SAE J2836/1 defines a PEV<->Utility use case but carries no direct security requirement.",A2,extended,E1
9,EV-Internal – EVSE/CS,Active,5,"ENISA Smart Cars §2.2 (TM-08, TM-31)",ENISA §2.2 identifies external communication between in-vehicle systems and charging equipment as an asset/threat.,—,—,
10,EV-Internal – CSMS,Active,5,ENISA Smart Cars §2.2 (TM-08),ENISA treats the connection between OEM telematics and cloud services as subject to security requirements.,—,—,
11,EV-Internal – eMSP/External,Active,10,ENISA Smart Cars §2.3 (TM-19),ENISA §2.3 defines the linkage between OEM app/account services and the eMSP as a communication asset.,—,—,
12,EV-Internal – Wireless,Gap-B,0,ENISA Smart Cars Annex A (TCU); NIST IR 8473 §1.2,ENISA Annex A includes TCU cellular/WiFi in its asset list; NIST §1.2 also recognizes EV wireless cloud connectivity. No per-path security requirement is assigned.,A4,extended,E1
13,EV-Internal – PKI,Gap-B,0,CharIN PnC Guide v1.2 §9.2; ISO 15118-20 §7,CharIN §9.2 defines routing via the OEM backend as the standard path; the security of a direct HSM-to-CA path is not specified.,A3,extended,E2
14,EV-Internal – SECC,Non-Applicable,0,ISO 15118-1:2019 §3.1.31,The EVCC is a mandatory gateway; no direct message channel from internal subsystems to the SECC is defined.,—,—,
15,EV-Internal – EVSE-Internal,Non-Applicable,0,No physical channel,"No direct physical channel exists between the internal subsystems of the two domains, so communication cannot be established.",—,—,
16,EV-Internal – Utility/Grid,Gap-B,0,SAE J2836/3 (PEV-as-DER use case); NIST IR 8473 AM-3,SAE J2836/3 defines a PEV-as-DER use case but assumes routing via the EVSE; the security of a direct EV-Internal path is not specified.,A2,extended,E1
17,SECC – PKI,Active,41,ISO 15118-20 §7 (SECC certificates),"Requirements for SECC certificate operations (OCSP, TLS handshake) are specified.",—,—,
18,SECC – eMSP/External,Active,6,ISO 15118-20 (eMSP authentication relay),"During PnC, the SECC relays eMSP authentication signaling.",—,—,
19,SECC – Wireless,Non-Applicable,0,This study's modeling convention (ISO 15118-20 wireless requirements are counted under EVCC<->Wireless),"Wireless HLC is interpreted as a medium attribute of EVCC-SECC communication. ISO 15118-20 wireless (WLAN) security requirements are consolidated onto the EVCC<->Wireless Edge to avoid double counting, and are not counted as an independent Edge.",—,—,
20,SECC – CSMS,Gap-B,0,ISO 15118-1:2019 §1 (out of scope); commercial SoC implementations,"ISO declares communication beyond the SECC to be out of scope, but some commercial chargers integrate the SECC and OCPP on the same SoC. No standard security requirement exists.",A3,anchor,E4
21,SECC – Utility/Grid,Gap-B,0,"ISO 15118-1:2019 §3.1.19, §5.5, §7.8.6-9","ISO 15118-1 (outside the five analyzed standards) §7.8 recognizes the SECC-grid-actor relationship as a use case in BPT dynamic charging mode, but there is no direct Edge security requirement within the five analyzed standards -> Gap-B (external-standard evidence).",A2,extended,E1
22,EVSE/CS – CSMS,Active,126,OCPP 2.0.1 §1.1 + ENISA Smart Cars §3,"Core back-end interface; the most robust, with overlapping coverage from two standards, OCPP (121) + ENISA (5).",—,—,
23,EVSE/CS – Wireless,Gap-B,0,OCPP 2.0.1 §A.1.2 (medium not specified); OCA (2025) deployment survey,"OCPP WSS is medium-independent, but cellular/WiFi backhaul is the common industry deployment form, as confirmed in the OCA (2025) field survey. No medium-specific security requirement exists.",A4,anchor,E2
24,EVSE/CS – PKI,Gap-B,0,OCPP 2.0.1 Part 2 §A.2 A02/A03 (assumes CSMS RA brokering),"OCPP A02/A03 specify that the CSMS brokers the CSR to the CA; a direct EVSE-to-CA connection (e.g., EST, RFC 7030) is technically feasible but has no security requirement.",A3,extended,E2
25,EVSE/CS – eMSP/External,Gap-B,0,PCI-DSS EMV payment-terminal requirements; not defined in OCPP/OCPI,PCI-DSS implementations exist in which the EMV payment terminal communicates directly with the eMSP payment system via an acquirer. Not defined in OCPP/OCPI.,A1,extended,E1
26,EVSE/CS – Utility/Grid,Gap-A,0,IEEE 2030.5-2018 CSIP; OpenADR 2.0b §4,IEEE 2030.5 and OpenADR standardize scenarios in which the EVSE registers directly with the grid as a DER client/VEN; no security requirement in the five standards.,A2,anchor,
27,EVSE-Internal – Wireless,Gap-B,0,PTB Eichrecht legal-metrology certification; BESS standalone-modem implementations,Commercial products exist in which the legal-metrology meter (Eichrecht-certified) and the BESS embed their own cellular modems. No standard security requirement exists.,A4,extended,E2
28,EVSE-Internal – PKI,Gap-B,0,PTB Eichrecht §6; ISO 15118-2 Annex F (does not include internal components),"The Eichrecht legal-metrology meter holds its own X.509 certificate under PTB §6; the V2G PKI hierarchy does not include internal components, so there is no security requirement linking the two systems.",A3,extended,E1
29,EVSE-Internal – CSMS,Gap-A,0,OCPP 2.0.1 Device Model Appendix 3,"OCPP Appendix 3 logically defines a reporting channel (NotifyReport/NotifyEvent) from internal components (BESS, cooling, meter) to the CSMS, but assigns no per-component security requirement.",A3,extended,
30,EVSE-Internal – eMSP/External,Gap-B,0,PCI-DSS EMV payment-terminal requirements; OCPI 2.2.1 (does not define internal components),Settlement communication from an EMV payment terminal to the eMSP via an acquirer occurs in PCI-DSS environments; OCPI does not target internal components.,A3,extended,E1
