Mapping_ID,Zone,Node,Node_Label,Sub-entity,Source_Document,Standard,Requirement_ID,Requirement_Text_Original,Requirement_Domain,Subentity_Mapped_Count,Node_Total_Mapped_Req
N-0001,Z1: EV Domain,EV-Internal,EV Internal,CAN Bus,NIST IR 8473,NIST,AC-1,"EV manufacturers can provide means to ensure the system is able to allow customers to authenticate interactions with and within their systems. Domain-specific identities/credentials stored within the EV may include credentials for authentication, software/firmware certificates, and diagnostics and maintenance.",EV,6,53
N-0002,Z1: EV Domain,EV-Internal,EV Internal,CAN Bus,NIST IR 8473,NIST,AC-5,"Networks may include (but are not limited to) internal Controller Area Network (CAN) links between systems, such as battery management, infotainment and charge controller systems, and external communications with EVSE and cloud/third-party systems.",EV,6,53
N-0003,Z1: EV Domain,EV-Internal,EV Internal,CAN Bus,NIST IR 8473,NIST,MA-1,"This may involve providing a maintenance institution validation process so EV owners can identify accredited mechanics. Accreditation may include verifying that the tooling used is qualified, and that maintenance technicians or mechanics are appropriately trained or certified.",EV,6,53
N-0004,Z1: EV Domain,EV-Internal,EV Internal,CAN Bus,NIST IR 8473,NIST,PT-1,"EV manufacturers can consider logging system status and health over time, including indicators such as battery health.",EV,6,53
N-0005,Z1: EV Domain,EV-Internal,EV Internal,CAN Bus,NIST IR 8473,NIST,PT-2,"Removable media may include connections made through EV-specific ports or hardware (e.g., On-Board Diagnostic II (OBD-II), Controller Area Network (CAN), Infotainment).",EV,6,53
N-0006,Z1: EV Domain,EV-Internal,EV Internal,CAN Bus,NIST IR 8473,NIST,CM-2,"Critical hardware components may include the head unit system, on-board-diagnostic interfaces, telematic control units, central gateway modules, battery management systems, electronic control units, and communication controllers. This may include logging, alarming or monitoring CAN access ports, physical access ports, and connections.",EV,6,53
N-0007,Z1: EV Domain,EV-Internal,EV Internal,BMS,NIST IR 8473,NIST,AC-2,"Physical access may include access to critical systems, such as battery management and charging management, diagnostic, or non-critical systems, such as the infotainment system.",EV,5,53
N-0008,Z1: EV Domain,EV-Internal,EV Internal,BMS,NIST IR 8473,NIST,AC-5,"Networks may include (but are not limited to) internal Controller Area Network (CAN) links between systems, such as battery management, infotainment and charge controller systems, and external communications with EVSE and cloud/third-party systems.",EV,5,53
N-0009,Z1: EV Domain,EV-Internal,EV Internal,BMS,NIST IR 8473,NIST,AE-3,"Important EV-specific data collected may include Battery Management System (BMS) sensor data readings, communications with the external systems, information generated by or related to safety-critical systems, etc.",EV,5,53
N-0010,Z1: EV Domain,EV-Internal,EV Internal,BMS,NIST IR 8473,NIST,CM-1,"Network monitoring may include internally communicated traffic within the EV and traffic with external systems, including EVSE and Cloud/Third-Party systems. The network may include the vehicle’s central gateway module, sensors, control units, communication modules, telematics units, and battery management systems. Data exchange between external systems may include information on vehicle performance, battery performance, charging history, vehicle owners, communications with charging stations, grid systems, and external servers.",EV,5,53
N-0011,Z1: EV Domain,EV-Internal,EV Internal,BMS,NIST IR 8473,NIST,CM-2,"Critical hardware components may include the head unit system, on-board-diagnostic interfaces, telematic control units, central gateway modules, battery management systems, electronic control units, and communication controllers. This may include logging, alarming or monitoring CAN access ports, physical access ports, and connections.",EV,5,53
N-0012,Z1: EV Domain,EV-Internal,EV Internal,Head-Unit,NIST IR 8473,NIST,AC-2,"Physical access may include access to critical systems, such as battery management and charging management, diagnostic, or non-critical systems, such as the infotainment system.",EV,5,53
N-0013,Z1: EV Domain,EV-Internal,EV Internal,Head-Unit,NIST IR 8473,NIST,AC-5,"Networks may include (but are not limited to) internal Controller Area Network (CAN) links between systems, such as battery management, infotainment and charge controller systems, and external communications with EVSE and cloud/third-party systems.",EV,5,53
N-0014,Z1: EV Domain,EV-Internal,EV Internal,Head-Unit,NIST IR 8473,NIST,PT-2,"Removable media may include connections made through EV-specific ports or hardware (e.g., On-Board Diagnostic II (OBD-II), Controller Area Network (CAN), Infotainment).",EV,5,53
N-0015,Z1: EV Domain,EV-Internal,EV Internal,Head-Unit,NIST IR 8473,NIST,CM-2,"Critical hardware components may include the head unit system, on-board-diagnostic interfaces, telematic control units, central gateway modules, battery management systems, electronic control units, and communication controllers. This may include logging, alarming or monitoring CAN access ports, physical access ports, and connections.",EV,5,53
N-0016,Z1: EV Domain,EV-Internal,EV Internal,Head-Unit,NIST IR 8473,NIST,CM-8,"Vulnerability scans may include the telematics units, infotainment and navigation systems, remote keyless entry systems, diagnostic ports, and charging systems.",EV,5,53
N-0017,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),NIST IR 8473,NIST,DS-6,"This may include secure communication channels, cryptographic mechanisms, and digital signatures to validate the integrity of the firmware or software. EV systems that may utilize these methods include the onboard control units, communication networks, and charging infrastructure. 2.3,",EV,25,53
N-0018,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-01,Deploy Intrusion Detection Systems (IDSs) both at vehicle and back-end levels to enable the detection of malicious activities or policy violations.,,25,53
N-0019,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-02,"Maintain properly protected audit logs to prevent their disclosure to unauthorised entities, while clearly defining their storage location and retaining period. 51 For large organisations, it may be considered to build several security teams to split the scope, for instance, by separating corporate security policy, back-end systems and connectivity services, cars and embedded components security. 52 “An ISMS consists of the policies, procedures, guidelines and associated resources and activities",,25,53
N-0020,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-03,"Consider periodically reviewing network logs, access control privileges and assets configuration.",,25,53
N-0021,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-04,Perform data validation to check the correctness of incoming information.,,25,53
N-0022,Z1: EV Domain,EV-Internal,EV Internal,EV-Internal (general recommendation),ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,TM-05,"Define appropriate forensics procedures to enable event reconstruction, facilitate crash investigation, prevent similar attacks and/or for accountability purposes. 4.4.2 Protection of Networks and Protocols",,25,53
