Path,Objective,Standard,Source document,Requirement ID,Mapping ID,Coding decision,Evidence mode,Rationale
EVCC <-> SECC,AuthN,ISO,ISO 15118-20,V2G20-1235; V2G20-065,E-0028; E-0068,1,Direct mechanism,ISO 15118-20 requires V2G-CI-TLS on this edge and describes the channel as authenticated; this directly supports endpoint authentication.
EVCC <-> SECC,AuthZ,ISO,ISO 15118-20,V2G20-2343,E-0026,1,Direct control,"The EVCC is prohibited from initiating certificate installation without the required OEM provisioning credential, which is an explicit eligibility gate on the edge."
EVCC <-> SECC,Confidentiality,ISO,ISO 15118-20,V2G20-1235; V2G20-065,E-0028; E-0068,1,Direct mechanism,Mandatory V2G-CI-TLS establishes an encrypted EVCC-SECC channel and therefore directly addresses confidentiality.
EVCC <-> SECC,Integrity,ISO,ISO 15118-20,V2G20-1235; V2G20-2311,E-0028; E-0165,1,Direct mechanism,"Mandatory TLS protects channel integrity, and the XML-signature requirement explicitly provides message and message-part integrity."
EVCC <-> SECC,Availability,ISO,ISO 15118-20,V2G20-2134; V2G20-2358,E-0061; E-0067,1,Direct control,Bounded retransmission timeouts and selective repeat retransmission directly support continued communication under loss.
EVCC <-> SECC,Logging,,,,,0,No qualifying direct evidence,No mapped Edge-level requirement directly requires security-event logging or audit records on this path.
EVCC <-> SECC,Revocation,ISO,ISO 15118-20,V2G20-2388; V2G20-2413,E-0084; E-0102,1,Direct control,The edge carries OCSP status information and requires validation of the OCSP responder before accepting certificate status.
EVCC <-> SECC,Update,,,,,0,No qualifying direct evidence,"No mapped Edge-level requirement directly requires secure software, firmware, or credential update handling on this path."
EVCC <-> SECC,Resilience,ISO,ISO 15118-20,V2G20-2358,E-0067,1,Direct control,Selective acknowledgement and retransmission are required specifically to improve packet-loss handling.
EVSE/CS <-> CSMS,AuthN,OCPP,OCPP 2.0.1,A00.FR.401,E-0228,1,Direct objective,OCPP requires the Charging Station to authenticate to the CSMS using its certificate.
EVSE/CS <-> CSMS,AuthZ,OCPP,OCPP 2.0.1,A00.FR.806,E-0267,1,Direct control,"The CSMS may restrict the functions available to a Charging Station until factory credentials are updated, providing an explicit authorization gate."
EVSE/CS <-> CSMS,Confidentiality,OCPP,OCPP 2.0.1,A00.FR.312,E-0217,1,Direct mechanism,OCPP requires the Charging Station-CSMS communication channel to be secured with TLS.
EVSE/CS <-> CSMS,Integrity,OCPP,OCPP 2.0.1,A00.FR.312,E-0217,1,Direct mechanism,The mandatory TLS channel provides cryptographic integrity protection for OCPP traffic.
EVSE/CS <-> CSMS,Availability,OCPP,OCPP 2.0.1,A04.FR.02,E-0294,1,Direct control,Disconnected Charging Stations must queue security-event notifications for guaranteed delivery to the CSMS.
EVSE/CS <-> CSMS,Logging,OCPP,OCPP 2.0.1,A04.FR.04,E-0295,1,Direct objective,OCPP requires security events to be stored in a security log.
EVSE/CS <-> CSMS,Revocation,OCPP,OCPP 2.0.1,A00.FR.704,E-0263,1,Direct objective,The certificate-management server is recommended to track revoked certificates.
EVSE/CS <-> CSMS,Update,OCPP,OCPP 2.0.1,L01.FR.09,E-0303,1,Direct objective,OCPP requires firmware updates to be digitally signed over the firmware hash to establish authenticity and origin.
EVSE/CS <-> CSMS,Resilience,,,,,0,No qualifying direct evidence,"No mapped Edge-level requirement directly requires recovery, failover, or continued safe operation under faults or attack on this path."
SECC <-> PKI,AuthN,ISO,ISO 15118-20,V2G20-2451,E-0357,1,Direct objective,The SECC must authenticate the OCSP responder certificate before accepting the response.
SECC <-> PKI,AuthZ,,,,,0,No qualifying direct evidence,"No mapped Edge-level requirement directly governs permission, privilege, or allowed actions on this path."
SECC <-> PKI,Confidentiality,,,,,0,No qualifying direct evidence,No mapped Edge-level requirement directly requires protection against disclosure on this path.
SECC <-> PKI,Integrity,ISO,ISO 15118-20,V2G20-2452,E-0358,1,Direct control,The SECC verifies the signature on the OCSP response and rejects the certificate chain if verification fails.
SECC <-> PKI,Availability,,,,,0,No qualifying direct evidence,No mapped Edge-level requirement directly requires service or communication availability on this path.
SECC <-> PKI,Logging,,,,,0,No qualifying direct evidence,No mapped Edge-level requirement directly requires security-event logging or audit records on this path.
SECC <-> PKI,Revocation,ISO,ISO 15118-20,V2G20-2327; V2G20-2452,E-0328; E-0358,1,Direct objective,ISO defines the OCSP signer trust chain and verification of signed certificate-status responses for the SECC.
SECC <-> PKI,Update,,,,,0,No qualifying direct evidence,"No mapped Edge-level requirement directly requires secure software, firmware, or credential update handling on this path."
