Entity A,Entity B,Group A,Group B,Inter-group?,Included as candidate,Exclusion reason
EVCC,EV-Internal,Z1 (EV Domain),Z1 (EV Domain),No,No,Intra-Zone (Z1): in-vehicle internal bus between EV subsystems and the EV communication controller
EVCC,SECC,Z1 (EV Domain),Z2 (XFC/EVSE),Yes,Yes,
EVCC,EVSE/CS,Z1 (EV Domain),Z2 (XFC/EVSE),Yes,Yes,
EVCC,EVSE-Internal,Z1 (EV Domain),Z2 (XFC/EVSE),Yes,Yes,
EVCC,CSMS,Z1 (EV Domain),Z3 (Cloud/Third-Party),Yes,Yes,
EVCC,eMSP/External,Z1 (EV Domain),Z3 (Cloud/Third-Party),Yes,Yes,
EVCC,Utility/Grid,Z1 (EV Domain),Z4 (Utility/Grid),Yes,Yes,
EVCC,PKI,Z1 (EV Domain),Cross-Zone,Yes,Yes,
EVCC,Wireless,Z1 (EV Domain),Cross-Zone,Yes,Yes,
EV-Internal,SECC,Z1 (EV Domain),Z2 (XFC/EVSE),Yes,Yes,
EV-Internal,EVSE/CS,Z1 (EV Domain),Z2 (XFC/EVSE),Yes,Yes,
EV-Internal,EVSE-Internal,Z1 (EV Domain),Z2 (XFC/EVSE),Yes,Yes,
EV-Internal,CSMS,Z1 (EV Domain),Z3 (Cloud/Third-Party),Yes,Yes,
EV-Internal,eMSP/External,Z1 (EV Domain),Z3 (Cloud/Third-Party),Yes,Yes,
EV-Internal,Utility/Grid,Z1 (EV Domain),Z4 (Utility/Grid),Yes,Yes,
EV-Internal,PKI,Z1 (EV Domain),Cross-Zone,Yes,Yes,
EV-Internal,Wireless,Z1 (EV Domain),Cross-Zone,Yes,Yes,
SECC,EVSE/CS,Z2 (XFC/EVSE),Z2 (XFC/EVSE),No,No,Intra-Zone (Z2): internal link within the charging station
SECC,EVSE-Internal,Z2 (XFC/EVSE),Z2 (XFC/EVSE),No,No,Intra-Zone (Z2): internal link within the charging station
SECC,CSMS,Z2 (XFC/EVSE),Z3 (Cloud/Third-Party),Yes,Yes,
SECC,eMSP/External,Z2 (XFC/EVSE),Z3 (Cloud/Third-Party),Yes,Yes,
SECC,Utility/Grid,Z2 (XFC/EVSE),Z4 (Utility/Grid),Yes,Yes,
SECC,PKI,Z2 (XFC/EVSE),Cross-Zone,Yes,Yes,
SECC,Wireless,Z2 (XFC/EVSE),Cross-Zone,Yes,Yes,
EVSE/CS,EVSE-Internal,Z2 (XFC/EVSE),Z2 (XFC/EVSE),No,No,Intra-Zone (Z2): internal link within the charging station
EVSE/CS,CSMS,Z2 (XFC/EVSE),Z3 (Cloud/Third-Party),Yes,Yes,
EVSE/CS,eMSP/External,Z2 (XFC/EVSE),Z3 (Cloud/Third-Party),Yes,Yes,
EVSE/CS,Utility/Grid,Z2 (XFC/EVSE),Z4 (Utility/Grid),Yes,Yes,
EVSE/CS,PKI,Z2 (XFC/EVSE),Cross-Zone,Yes,Yes,
EVSE/CS,Wireless,Z2 (XFC/EVSE),Cross-Zone,Yes,Yes,
EVSE-Internal,CSMS,Z2 (XFC/EVSE),Z3 (Cloud/Third-Party),Yes,Yes,
EVSE-Internal,eMSP/External,Z2 (XFC/EVSE),Z3 (Cloud/Third-Party),Yes,Yes,
EVSE-Internal,Utility/Grid,Z2 (XFC/EVSE),Z4 (Utility/Grid),Yes,Yes,
EVSE-Internal,PKI,Z2 (XFC/EVSE),Cross-Zone,Yes,Yes,
EVSE-Internal,Wireless,Z2 (XFC/EVSE),Cross-Zone,Yes,Yes,
CSMS,eMSP/External,Z3 (Cloud/Third-Party),Z3 (Cloud/Third-Party),No,No,Intra-Zone (Z3): back-end/roaming pairing (eMSP roaming path deferred to future work)
CSMS,Utility/Grid,Z3 (Cloud/Third-Party),Z4 (Utility/Grid),Yes,Yes,
CSMS,PKI,Z3 (Cloud/Third-Party),Cross-Zone,Yes,Yes,
CSMS,Wireless,Z3 (Cloud/Third-Party),Cross-Zone,Yes,Yes,
eMSP/External,Utility/Grid,Z3 (Cloud/Third-Party),Z4 (Utility/Grid),Yes,Yes,
eMSP/External,PKI,Z3 (Cloud/Third-Party),Cross-Zone,Yes,Yes,
eMSP/External,Wireless,Z3 (Cloud/Third-Party),Cross-Zone,Yes,Yes,
Utility/Grid,PKI,Z4 (Utility/Grid),Cross-Zone,Yes,Yes,
Utility/Grid,Wireless,Z4 (Utility/Grid),Cross-Zone,Yes,Yes,
PKI,Wireless,Cross-Zone,Cross-Zone,No,No,Cross-Zone infrastructure pair: two shared services with no direct PKI-Wireless communication
