Mapping_ID,Category,Source_Document,Standard,Requirement_ID,Requirement_Text_Original
ORG-0001,Organization / Governance Policy,NIST IR 8473,NIST,AM-1,"No additional domain-specific considerations to EV manufacturers once the vehicle is delivered to the customer; however, manufacturers may catalogue the equipment installed in their vehicles and consider providing that information to EV owners as needed. EV owners may consider being aware of the basic information about their vehicle, such as voltage ratings, rated charging current, charging method (alternating current (AC) or direct current (DC)) and charging connector type."
ORG-0002,Organization / Governance Policy,NIST IR 8473,NIST,AM-2,EV manufacturers should consider routinely pushing or providing software updates and patches to EV owners and relevant third parties. SA-8 ISO 24089:20231
ORG-0003,Organization / Governance Policy,NIST IR 8473,NIST,AM-2,"EVSE manufacturers should consider routinely pushing and patching software updates and patches to EVSE owners and relevant third parties. 1.10 G-S.1(d), G-S.2, G-S.9 SA-8"
ORG-0004,Organization / Governance Policy,NIST IR 8473,NIST,AM-2,Cloud/Third-Party owners/operators may consider including any external third-party software hosted on or connected to the systems. SA-8 Subcategory | Domain
ORG-0005,Organization / Governance Policy,NIST IR 8473,NIST,AM-2,Utility/Building management owners/may consider including external third-party software hosted on their systems in the software inventory.
ORG-0006,Organization / Governance Policy,NIST IR 8473,NIST,AM-3,"This mapping may include communication and data relating to vehicle identification, system information, battery statistics, payment information, accounts, etc. Data path/flow diagrams should consider including the EV wire harness and each relevant electric control unit (ECU). Diagrams may also show how ECUs are connected to communication buses, sensors, and actuators, the communication protocols they use, physical location of hardware in the EV, any available ports, and the directionality of communications."
ORG-0007,Organization / Governance Policy,NIST IR 8473,NIST,AM-3,"Cloud/Third-Party members should consider including business and operations-specific flows within the organization as well as interactions with external partners and entities, including EVSE, utilities, building/facility management systems, and transaction management systems. Consider paying particular attention to Payment Card Industry (PCI) data flows and data flows to and from data leaks."
ORG-0008,Organization / Governance Policy,NIST IR 8473,NIST,AM-4,"Cloud/Third-Party owners/operators may include interactions with external partners, systems, and entities, such as EVSE, utilities, building/facility management systems, and transaction management systems."
ORG-0009,Organization / Governance Policy,NIST IR 8473,NIST,AM-5,"EV manufacturers have an additional concern in that they will be supporting equipment and systems already in the customer’s possession and use. In addition to their current assets, manufacturers may consider the importance of resources necessary to support discontinued models."
ORG-0010,Organization / Governance Policy,NIST IR 8473,NIST,AM-5,"The prioritization of resources will be influenced by the XFC/EVSE’s ability to support different makes and models of EV. The resource prioritization may be updated as the number and variety of EVs change. XFC/EVSE stations are geographically diverse, and the local owners/operators may have different risk tolerances. As such, the evaluations may be adjusted based on local threat assessments, vulnerabilities of local equipment, local risk assessments, and the individual owners’ tolerance. EVSE manufacturers may consider supporting equipment and systems already in the customer’s possession and use, which would influence the prioritization process. EVSE owners/operators can acknowledge that prioritization may be adjusted based on geographical location in addition to the equipment/system type and model. This may mean defining what types of EVs are eligible to charge during times of decreased availability. For example, emergency response EVs may be prioritized during an emergency to ensure that their missions are upheld. 1:D4E1 DATA 1.1 OIM D31:2019"
ORG-0011,Organization / Governance Policy,NIST IR 8473,NIST,AM-5,Criticality to customer and partners organizations may be part of the prioritization.
ORG-0012,Organization / Governance Policy,NIST IR 8473,NIST,AM-5,Consumers may be elements of the critical infrastructure (such as shipping or disaster recovery). This may mean prioritizing what loads receive power during a time of decreased availability and communicating that prioritization with partners.
ORG-0013,Organization / Governance Policy,NIST IR 8473,NIST,AM-6,"Additional relevant parties for EV manufacturers include elements of the workforce involved in vehicle design, and pre/post-sales support. EV owners may be made aware of methods and opportunities for good cyber hygiene as it relates to their EV usage, as well as informed on the responsibilities to the customer of their vehicle manufacturer. RQ-07-04, RQ-07-06"
ORG-0014,Organization / Governance Policy,NIST IR 8473,NIST,AM-6,"Additional relevant parties for EVSE manufacturers should consider including elements of the workforce involved in equipment design/usage, pre/post-sales support, and those involved during EVSE installation design and construction. 1:D4E1 ORG 1.3"
ORG-0015,Organization / Governance Policy,NIST IR 8473,NIST,AM-6,Utilities and network building should consider defining the roles and responsibilities in context of rules and regulations that apply to the energy sector. Extra emphasis may be placed on physical security personnel to protect the physical operating environment and infrastructure against cybersecurity risks. 1:D4E1 ORG 1.3
